head_dim,256,1024,4096,8192,16384
16,0.019798528,0.053221888,0.564402688,2.185501184,8.648923648
32,0.02047232,0.05586176,0.57490688,2.206491136,8.69088512
64,0.021856768,0.061178368,0.595952128,2.248507904,8.774844928
128,0.02477312,0.07195904,0.63819008,2.332688896,8.942912
